username,source_type,source_file,posts,followers,follower_segment,avg_likes,avg_comments,categories,top_hashtags,account_type,account_confidence,creator_score,business_score,media_score
kitchen.anemon,profile_scrape,scrape_1776869436.json,6,434.0,nano,4.17,5.5,"yemek_mutfak,oyuncak_hobi","tarif,yemek,sunum,yemektarifleri,lezzet,food,istanbul,tatlı,sunumönemlidir,mutfak",creator,0.93,1.9,0.0,0.0
klncveterinerklinigi,profile_scrape,scrape_1776937104.json,12,244.0,nano,31.75,0.33,"evcil_hayvan,oyuncak_hobi,egitim_kariyer","kedi,cat,veterinerkliniği,veterinerhekim,yunusemre,muradiye,veteriner,kedibakımı,catcare,catlover",creator,0.93,1.9,0.0,0.0
kolaytatlitariflerim,profile_scrape,scrape_1776936742.json,11,67113.0,micro,76.82,0.91,yemek_mutfak,"yemektarifleri,tatlıtarifleri,yemek,kolaytatlıtarifleri,çikolatalıtatlı,revani,çileklidondurma,katmer,çileklipasta,çileklitatlı",creator,0.93,1.9,0.3,0.0
kulawykurczak,profile_scrape,scrape_1776868726.json,8,9059.0,nano,35.75,34.25,"guzellik_kozmetik,evcil_hayvan,moda_yasam","daily,reklama,lifestyle,zakupwłasny,skincare,ysl,makeup,beauty,EvelineTeam,mediapic",creator,0.77,1.1,0.0,0.4
kutaymadlen,profile_scrape,scrape_1776937266.json,10,41.0,nano,8.3,0.1,genel,"madlen,promosyonürünleri,promosyonçikolata,sargılıçikolata,madlençikolata,pelitçikolata,çikolatakutusu,kutuçikolata,valonia,madlencikolata",creator,0.75,1.0,0.0,0.0
laf_activities,profile_scrape,scrape_1776872304.json,12,2956.0,nano,64.17,5.92,"evcil_hayvan,taki_aksesuar","lafayette,lafayettecollege,spring,dance,leopard,marquisdelafayette,easton,application,escaperoom,winter",creator,0.75,1.0,0.0,0.0
laken_turkiye,profile_scrape,scrape_1776869679.json,11,648.0,nano,12.55,0.55,"anne_bebek,oyuncak_hobi","laken,lakentürkiye,termos,çelikmatara,outdoorlife,çevredostu,maceracumhuriyeti,bebek,annebebek,bebekurunleri",creator,0.75,1.0,0.0,0.0
learngrowevolverepeat,profile_scrape,scrape_1776936742.json,12,530.0,nano,21.42,1.58,"egitim_kariyer,otomotiv","lifecoach,learngrowevolverepeat,mindsetcoach,selfawareness,selfsabotage,overthinking,roles,career,change,transformation",creator,0.83,1.4,0.0,0.0
lego._.island,profile_scrape,scrape_1776869679.json,11,48.0,nano,16.09,2.18,"oyuncak_hobi,otomotiv","legoisland,lego,legohouse,cardistry,playingcards",creator,0.75,1.0,0.0,0.0
lf.photoscb,profile_scrape,scrape_1776936742.json,3,2.0,nano,2.0,0.0,"evcil_hayvan,egitim_kariyer,otomotiv","catsofinstagram,cat,catsagram,mariposa,mariposaesfinge,naturelovers,naturephotography,sphinxhawkmoth",creator,0.83,1.4,0.0,0.0
lgs27kpss26,profile_scrape,scrape_1776937266.json,5,506.0,nano,163.4,0.6,egitim_kariyer,"lgshazırlık,sinav,kpss2026hazırlananlar,lgsgünlüğü,kpss,kpsshazırlık,fenlisesi,derscalisma,kpsscoğrafya,kpssgünlüğüm",creator,0.83,1.4,0.0,0.0
lifeofwadhwa,profile_scrape,scrape_1776937104.json,12,2396.0,nano,43.0,12.33,evcil_hayvan,"trending,confidence,citylife,noise,peace,beer,humor,experiment,kitchensofinstagram,selfempowerment",creator,0.75,1.0,0.0,0.0
linaberry_shop,profile_scrape,scrape_1776937431.json,12,52.0,nano,9.67,0.58,"fitness_saglik,yemek_mutfak,oyuncak_hobi","hediyelik,çilek,çikolatalıçilek,sweets,tatlikutusu,tatlisever,ankarafood,cikolatacicilek,cilek,strawberries",creator,0.83,1.4,1.2,0.0
listifyai.app,profile_scrape,scrape_1776872304.json,12,9.0,nano,-0.67,0.83,"otomotiv,moda_yasam","eticaret,listifyai,modaçekimi,yapayzekamodel,aimodel,yapayzeka,moda,fotoğrafçılığı,ürünfotoğrafçılığı,yapayzekaile",creator,0.83,1.4,0.0,0.0
lola_thelollipopcat,profile_scrape,scrape_1776936742.json,12,1621.0,nano,442.75,36.5,"evcil_hayvan,otomotiv","cats_of_instagram,catlover,catreel,pisicipeinstagram,catagram,catphoto",creator,0.85,1.5,0.0,0.0
luckybracecat,profile_scrape,scrape_1776869777.json,2,2577.0,nano,49.5,5.0,"evcil_hayvan,egitim_kariyer,otomotiv","luckythebracecat,luckybracecat,cat,thedodo,catlover,catlovers,catlife,catsloversclub,catlove,catphoto",creator,0.93,1.9,0.0,0.0
lune_rahandmade,profile_scrape,scrape_1776936742.json,12,30.0,nano,9.75,0.75,"taki_aksesuar,anne_bebek","instgram,jewelry,global,fyp,takı,handmade,şapka,bebekbataniyesi,keşfet,oneçıkar",creator,0.75,1.0,0.0,0.0
madadora_by.madma,profile_scrape,scrape_1776868726.json,8,150.0,nano,1.12,0.0,moda_yasam,"FormalStyle,softblue,WhiteSkirt,ElegantWear,ChicAndPolished,LightBlueBlouse,SoftStyle,EverydayElegance,SimpleFashion,outfit",creator,0.77,1.1,0.0,0.0
maggieblue_with_covidblack,profile_scrape,scrape_1776937266.json,12,99.0,nano,7.33,0.0,"evcil_hayvan,egitim_kariyer","貓,cat,英短藍貓,黑貓,blackcat,britishshorthair,cute,brtishshorthair,貓大叔",creator,0.83,1.4,0.0,0.0
maisonvale.tr,profile_scrape,scrape_1776868726.json,6,353.0,nano,0.0,0.0,moda_yasam,"çantamodeli,kombinönerisi,şıkkombin,günlükkombin,butikürünler,moda,instabutik,butikshop,trendürünler,alışveriş",creator,0.77,1.1,0.6,0.0
malidusuncekulubu,profile_scrape,scrape_1776937691.json,12,315.0,nano,5.25,2.58,genel,"çomü,mdk,malidüşüncekulübü,malidusuncekulubu,çanakkale,çanakkaleonsekizmartüniversitesi,onsekizmartüniversitesi,öğrencikulüpleri,kulüp,öğrenci",creator,0.75,1.0,0.0,0.0
marykidscom,profile_scrape,scrape_1776937266.json,12,722.0,nano,12.83,0.17,"moda_yasam,anne_bebek","bebekgiyim,çocukgiyim,bebekmodası,MaryKids,ÇocukGiyim,BebekGiyim,yenisezon,bebekkombin,kombin,minikstil",creator,0.77,1.1,0.0,0.0
mauroantenore,profile_scrape,scrape_1776872304.json,12,26874.0,micro,-1.0,1271.08,genel,,creator,0.75,1.0,0.0,0.0
mavi.caodeirante,profile_scrape,scrape_1776869679.json,10,45018.0,micro,5114.0,60.7,evcil_hayvan,"cachorros,cachorrosdobrasil,viral,cachorrosfofos,mavicaodeirante,caodeirante,adote,pet,humor,doguinho",creator,0.85,1.5,0.0,0.0
max_thewolf_husky01,profile_scrape,scrape_1776937431.json,6,49.0,nano,45.83,3.33,evcil_hayvan,"husky,doglover🐶,puppy,🐶,siberianhusky,siberianhuskypuppy,mydog,laugh,ilovedogs,pet",creator,0.85,1.5,0.0,0.0
maxidonertr,profile_scrape,scrape_1776869679.json,3,40.0,nano,15.0,0.0,yemek_mutfak,"antalya,döner,yemek,mekan,antalyayemek",creator,0.83,1.4,0.0,0.0
meilicloset,profile_scrape,scrape_1776868726.json,8,290.0,nano,31.88,0.0,moda_yasam,"meilicloset,ropard,boutiqueeuropea,zarazara,modard,moda,missguided,vestidonegro,bershka,vestido",creator,0.83,1.4,0.3,0.0
mercaninkiyisindan,profile_scrape,scrape_1776936742.json,12,81.0,nano,43.58,6.0,"anne_bebek,otomotiv","babygirl,kızneşesi,mercan,balkızım,babies,annebebek,mercaninkiyisindan,Mercan,#annebebek,family",creator,0.75,1.0,0.0,0.0
merkez.pastane,profile_scrape,scrape_1776869436.json,6,110.0,nano,14.0,1.17,"yemek_mutfak,evcil_hayvan","49,pastapasta,cake,çiçekler,model,bekarlığaveda,cicek,malazgirt,tatli,hemşire",creator,0.83,1.4,0.0,0.0
merlin.kleiner.verzauberer,profile_scrape,scrape_1776936742.json,12,1453.0,nano,43.0,4.25,"evcil_hayvan,anne_bebek,egitim_kariyer","catsofinstagram,catlover,cat,2026,catmomlife,catmom,wirsehenunswieder🐱🐾",creator,0.93,1.9,0.0,0.0
mertcreative.agency,profile_scrape,scrape_1776936742.json,12,192.0,nano,21.42,2.83,genel,"grafiktasarım,creativeagency,sosyalmedyatasarımı,designstudio,branding,ürünçekimi,yapayzeka,aivisual,reelsvideo,socialmediadesign",creator,0.75,1.0,0.0,0.4
mery_pacella,profile_scrape,scrape_1776872304.json,12,26835.0,micro,1689.08,66.25,"fitness_saglik,moda_yasam,otomotiv","gym,woman,photographer,life,lifestyle,girls,napoli,fitnessmotivation,italy,fitness",creator,0.93,1.9,0.0,0.0
meyramlaannelik,profile_scrape,scrape_1776936742.json,12,181.0,nano,35.83,14.25,anne_bebek,"kesfet,gebelik,kesfetbeniöneçıkar,hamilelik,ultrason,hamileanneadayları,bebekalışverişi,yapayzekâ,chatgbt,annebebekürünleri",creator,0.75,1.0,0.0,0.0
meysaca.blogg,profile_scrape,scrape_1776936742.json,12,8092.0,nano,341.75,4.75,anne_bebek,"bebek,annevebebek,anneler,hamileanneadayları,bebekgelişimi,annevebebeği,hamileanne,çocukgelisimi,kesfet,anneadayları",creator,0.75,1.0,0.0,0.0
mimabebekbutikk,profile_scrape,scrape_1776937431.json,12,430.0,nano,31.0,80.83,"anne_bebek,moda_yasam","bebekgiyim,bebekkombin,çocukgiyim,yenisezon,indirimbitti,keşfetteyiz,bebekbutik,anneler,bebekmodasi,bebekmodası",creator,0.93,1.9,1.5,0.0
min.n.mun,profile_scrape,scrape_1776936742.json,11,33.0,nano,4.73,1.64,"evcil_hayvan,egitim_kariyer","cat,pet,kitten,catlife,kittenlove,catlife🐾,dog,puppylove,puppy,catlover😻",creator,0.95,2.4,0.0,0.0
mini_baby.butik,profile_scrape,scrape_1776937431.json,12,13.0,nano,2.0,0.17,"moda_yasam,anne_bebek","bebekgiyim,bebekkıyafetleri,uygunkalite,pijama,erkekçocuk,erkekbebek,uygunfıyat,cocukgiyim,erkekgiyim,anneçocuk",creator,0.83,1.4,1.2,0.0
minimodatr,profile_scrape,scrape_1776937266.json,12,1873.0,nano,15.75,8.67,"anne_bebek,moda_yasam,otomotiv","minimoda,annebebek,prego,kayseri,bebekarabası,scooter,kayseri̇,bebek,cocuk,Chicco",creator,0.83,1.4,0.0,0.0
minisaglikrehberi,profile_scrape,scrape_1776937266.json,1,75.0,nano,-1.0,4.0,anne_bebek,"hemsire,okulhemşireliği,çocuksağlığı,okulsağlığı,annebebek",creator,0.75,1.0,0.0,0.0
mirayela.blog,profile_scrape,scrape_1776937104.json,10,39.0,nano,23.2,1.1,"anne_bebek,evcil_hayvan","keşfetteyim,annebebek,annekız,annelik,bebekgunlugu,anneolmak,pozitifebeveynlik,kesfet,minikyardımcım,iyikidogdunyaresulullah",creator,0.85,1.5,0.0,0.0
mistiq.gunce,profile_scrape,scrape_1776936742.json,12,136.0,nano,33.92,3.92,anne_bebek,"bebeğimlebüyüyorum,küçükişletme,kumaşbaskı,annebebek,yazıcı,dijitalgünce,annebebeksayfası,kendiürünüm,esansiyelyağlar,biberiye",creator,0.75,1.0,0.0,0.0
ml.petportraits,profile_scrape,scrape_1776936742.json,4,,unknown,0.0,0.25,"evcil_hayvan,teknoloji,egitim_kariyer","petportraits,art,artist,dog,cat,doglover,cats,petloss",creator,0.83,1.4,0.0,0.0
mnemonicsbybabita,profile_scrape,scrape_1776936742.json,2,43.0,nano,40.5,1.5,"ev_yasam,egitim_kariyer","nursingstudent,nursingnotes,bscstudent,studygram,medicalstudent",creator,0.93,1.9,0.0,0.0
modantacanta,profile_scrape,scrape_1776869679.json,6,7.0,nano,0.17,0.0,genel,,creator,0.75,1.0,0.0,0.0
momtimetr,profile_scrape,scrape_1776936742.json,12,649.0,nano,9.17,2.83,anne_bebek,"annebebek,avrupayakasıanneleri,annelerbuluşuyor,momtime,annelik,annelerbululuşuyor,annebebekbuluşma,anneler,ramikütüphanesi,sosyalanne",creator,0.75,1.0,0.0,0.0
motaz_hayani,profile_scrape,scrape_1776937104.json,12,1098.0,nano,95.58,3.83,finans_is,"Neü,mezünyet,يوم_جميل,nice_day,güzel_gün,gençlikkampları,turkey,turkiye,konya,kule",creator,0.75,1.0,0.0,0.0
mucizeyolculugum,profile_scrape,scrape_1776869436.json,6,3036.0,nano,940.67,8.0,"anne_bebek,evcil_hayvan","gebelik,hamilelik,annelik,keşfetteyiz,doğum,kesfet,dua,anneadayı,anne",creator,0.85,1.5,0.0,0.0
muratgunduzs,profile_scrape,scrape_1776936742.json,12,18339.0,micro,2973.92,183.5,"evcil_hayvan,egitim_kariyer","istanbul,kedi,kediler,cat,cats",creator,0.83,1.4,0.0,0.0
mustachio.otr,profile_scrape,scrape_1776872304.json,12,1261.0,nano,45.08,31.92,"moda_yasam,fitness_saglik","runner,run,ootd,lifestyle,style,running,family,workout,puertorico,training",creator,0.83,1.4,0.0,0.0
muzeyyenin_aynasi,profile_scrape,scrape_1776872304.json,12,802.0,nano,39.08,3.33,"yemek_mutfak,egitim_kariyer","keşfetteyiz,reels,etkileşimpostu,serebralpalsi,keşfetteyim,emek,sinav,ekpss,sezenaksusözleri,tb❤️",creator,0.83,1.4,0.0,0.0
my.scholar.aid,profile_scrape,scrape_1776868866.json,6,35651.0,micro,-1.0,119.67,"ev_yasam,egitim_kariyer,fitness_saglik","fyp,apexams,study,studygram,apclasses,college,mentalhealth,student,teacher,parent",creator,0.77,1.1,0.0,0.0
mycar.denizli,profile_scrape,scrape_1776869777.json,2,176.0,nano,13.0,0.0,"otomotiv,dekorasyon_mobilya","denizli,mobil,yerinde,detailing,oto",creator,0.75,1.0,0.0,0.0
mycat_mango,profile_scrape,scrape_1776936742.json,12,2513.0,nano,105.75,1.42,"evcil_hayvan,otomotiv,anne_bebek","cat,pet,like,instamood,instalike,instagood,instagram,life,instacat,like4like",creator,0.75,1.0,0.0,0.0
mydreamylife,profile_scrape,scrape_1776937104.json,8,182.0,nano,-1.0,3.38,genel,,creator,0.75,1.0,0.0,0.0
nadja.k_organics,profile_scrape,scrape_1776872304.json,12,560.0,nano,24.0,2.67,"evcil_hayvan,otomotiv,egitim_kariyer","photography,nature,naturephotography,cat,tortoiseshellcat,catlover,springtime,april,waiting,sunday",creator,0.93,1.9,0.0,0.0
nbstyle.gifts,profile_scrape,scrape_1776869777.json,1,1929.0,nano,10.0,13.0,genel,,creator,0.75,1.0,0.0,0.0
neselitat,profile_scrape,scrape_1776937431.json,12,1362.0,nano,42.42,7.92,evcil_hayvan,"butikpasta,kesfet,esenyurtpasta,instgram,dogumgunupastasi,keşfet,pastatasarim,pasta,reels,cakedesign",creator,0.85,1.5,0.3,0.0
nesva.journal,profile_scrape,scrape_1776872304.json,12,279.0,nano,-1.0,7.33,"seyahat_gezi,ev_yasam,kitap_kultur","journaling,stationery,journal,writing,stationeryaddict,travelerscompany,travelersnotebook,travelersnotebooks,mydesk,stalogy",creator,0.75,1.0,0.0,0.0
nfawear,profile_scrape,scrape_1776790071.json,1,65.0,nano,14.0,2.0,moda_yasam,"nfawear,kadıngiyim,moda,trendyol,stil",creator,0.83,1.4,0.0,0.0
noodleandbooinc,profile_scrape,scrape_1776869679.json,12,150266.0,mid,136.33,42.17,"otomotiv,guzellik_kozmetik,anne_bebek","noodleandboo,sensitiveskin,gentleskincare,gentlecare,babycare,momlife,babyessentials,gentlebabycare,babyskincare,dermatologistrecommended",creator,0.73,0.9,0.3,0.0
novalala.atelier,profile_scrape,scrape_1776872304.json,12,15850.0,micro,157.75,22.42,"moda_yasam,taki_aksesuar,oyuncak_hobi","takı,keşfet,NovaLala,novalalaatelier,kadınstili,çeliktakı,kombin,takımodası,16şubatfrezya264,14Şubat",creator,0.77,1.1,0.0,0.0
novaschooloflaw,profile_scrape,scrape_1776872304.json,12,8110.0,nano,207.33,2.08,"egitim_kariyer,otomotiv,evcil_hayvan","direito,linkdabio,soproud2bnovaschooloflaw,masters,mastersinlaw,lawschool,candidaturas,applications,escolhedireitoescolheanova,openday",creator,0.83,1.4,0.0,0.0
oceantwenty9,profile_scrape,scrape_1776868866.json,6,484.0,nano,20.83,1.83,"guzellik_kozmetik,otomotiv","oceantwenty9,ocean29,serum,cleanbeauty,shootingday,behindthescenes,oceanvibes,aestheticreels,foam,cleansing",creator,0.83,1.4,0.0,0.0
officer_somday,profile_scrape,scrape_1776790071.json,1,187.0,nano,16.0,3.0,genel,,creator,0.75,1.0,0.0,0.0
op.dr.busrasahin,profile_scrape,scrape_1776869436.json,6,5586.0,nano,143.17,0.0,"evcil_hayvan,anne_bebek","drbüşraşahin,ordukadındoğum,jinekolog,annevebebek,hamilelik,jinekoloji,trimestr,kadınhastalıklarıvedoğumuzmanı,histeroskopi,vajinalsağlık",creator,0.85,1.5,0.0,0.0
overhearddeumed,profile_scrape,scrape_1776936742.json,12,1215.0,nano,261.33,1.08,egitim_kariyer,"overheard,kesfet,tip,keşfet,deutip,sinav,deuyip,mentos,dekanlik,intern",creator,0.83,1.4,0.0,0.0
ovinso.tr,profile_scrape,scrape_1776936742.json,12,25.0,nano,4.25,0.08,"otomotiv,teknoloji","ovinso,bayiyazilimi,dijitaldonusum,motorcycle,motorsikletservis,hizlisatis,teknoloji,bayi,otomasyon,motorsiklet",creator,0.75,1.0,0.0,0.0
ozdmirbasak,profile_scrape,scrape_1776872304.json,12,592.0,nano,12.08,12.75,anne_bebek,"annekızaşkı,annekız,keşfetteyizzz,huzur,tbt,instagramviralvideo,annebebekreels,keşfet,keşfetteyiz,babakız",creator,0.75,1.0,0.0,0.0
ozgeilemisha,profile_scrape,scrape_1776872304.json,12,4040.0,nano,298.42,41.67,"evcil_hayvan,anne_bebek","baby,babygirl,bebek,babylife,3monthsold,sütçükadın,normaldogum,sudadoğum,suyadoğum,sudadoğumizmir",creator,0.85,1.5,0.0,0.0
ozgurozdekkk,profile_scrape,scrape_1776937104.json,12,1352.0,nano,38.5,0.25,genel,"keşfet,keşfetteyiz,keşfetteyim,keşfetedüş,kafayapısı,girişim,girisim,gelişim,keşifönerisi,girişimci",creator,0.75,1.0,0.0,0.0
pamelatallarita.grafico,profile_scrape,scrape_1776790071.json,7,140.0,nano,202.57,2.86,genel,"valdinievole,relax,ridere,amore,cannella,cioccolato,noci,pasquetta,cibo,abbigliamento",creator,0.75,1.0,0.0,0.0
papatyambaby,profile_scrape,scrape_1776869436.json,6,142470.0,mid,608.0,150.33,"anne_bebek,moda_yasam,taki_aksesuar","bebekgiyim,bebek,anne,bebektakımları,bebekgiyimtrendleri,bebektulumu,bebektakım,bebekelbisesi,yenidoğan,hamile",creator,0.73,0.9,0.0,0.0
pastatarifleritr,profile_scrape,scrape_1776936742.json,12,9586.0,nano,45.5,0.75,yemek_mutfak,"yemektarifleri,tatlıtarifleri,yemek,pastatarifleri,portakallıpasta,kurabiye,burmabörek,kolaytatlıtarifleri,profiterol,redvelvet",creator,0.93,1.9,0.0,0.0
patigillersahiplendirme,profile_scrape,scrape_1776936742.json,12,1772.0,nano,48.33,2.25,genel,"kedi,keşfet,yuva,keşfetteyim,sahiplendirme,keşfetteyiz,uşak",creator,0.75,1.0,0.0,0.0
patiilina,profile_scrape,scrape_1776872304.json,12,89.0,nano,1211.0,0.75,"evcil_hayvan,guzellik_kozmetik,egitim_kariyer","keşfetedüş,cat,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,kedivideoları,fypage,akım,keşfettengelenlertakipetsin❤,fypシ❤️💞❤️,catlife,kediailesi",creator,0.83,1.4,0.0,0.0
patilere.acil.yuva,profile_scrape,scrape_1776869679.json,12,61412.0,micro,93.67,8.0,"evcil_hayvan,egitim_kariyer","acilyuva,ömürlükyuva,satınalmaevlatedin,sahiplendirilecek,yuvaol,kopek,kedi,dog,cat,yuva",creator,0.77,1.1,0.3,0.0
pedrept,profile_scrape,scrape_1776937266.json,12,8990.0,nano,206.25,0.42,evcil_hayvan,"law,afacere,juridic,drept,dreptcivil,dreptpenal,dreptcomercial,administrativ,dreptfinanaciar,dreptfiscal",creator,0.75,1.0,0.0,0.0
petgourmet.cl,profile_scrape,scrape_1776936742.json,12,5532.0,nano,0.0,0.08,evcil_hayvan,"Comidapremium,petshop,Alimentomascotas,SanFelipe,Aconcagua,Doglover,Catlover,Gatos,Perros,Gatoschile",creator,0.79,1.2,0.3,0.0
pigmentsepeti,profile_scrape,scrape_1776868866.json,6,46.0,nano,2.0,0.0,genel,"tozboya,pigment,floresan,mumboyası,pigmentblack,optikbeyazlaştırıcı,morsedef,kırmızıtozsim,kırmızısim,blackpink",creator,0.75,1.0,0.0,0.0
pinar_denktas,profile_scrape,scrape_1776937104.json,12,21620.0,micro,5226.83,68.75,"anne_bebek,oyuncak_hobi","çocukgelişimi,keşfet,ebeveynlik,bilinçlianne,bilinçliebeveynlik,annelik,bebekgelişimi,annelikhalleri,modernannelik,erkençocukluk",creator,0.75,1.0,0.0,0.0
piramitegitim,profile_scrape,scrape_1776936742.json,12,1527.0,nano,38.58,1.58,"egitim_kariyer,evcil_hayvan","lgs,yks,gebze,denemesinavi,egitim,PiramitKurs,Eğitim,piramitegitim,LGS2026,LGSHazırlık",creator,0.83,1.4,0.3,0.0
pixorize,profile_scrape,scrape_1776869679.json,10,44897.0,micro,29966.9,13.6,"fitness_saglik,otomotiv","medstudent,futuredoc,futurern,medicalstudents,medicalstudent,medstudentlife,medschool,medschoollife,medicalschoolmemes,medstudentslife",creator,0.83,1.4,0.0,0.0
piya_graphy,profile_scrape,scrape_1776872304.json,12,115.0,nano,4.17,0.5,"guzellik_kozmetik,otomotiv","SkincareRoutine,Brillare,Versed,CleanBeauty,Dove,CrumblCookies,DoveXCrumbl,BodyScrub,SkinCareEssentials,CoconutOil",creator,0.93,1.9,0.0,0.0
poncikbaby.butik,profile_scrape,scrape_1776937431.json,12,32.0,nano,6.25,0.17,"moda_yasam,anne_bebek,evcil_hayvan","bebekgiyim,çocukkombin,butikgiyim,indirim,zaratakım,kesfet,kızçocukgiyim,yenidoğan,bebekmodası,leopardesen",creator,0.95,2.4,1.5,0.0
potatothepup._,profile_scrape,scrape_1776937266.json,12,694.0,nano,24.42,1.92,"evcil_hayvan,anne_bebek","cute,dog,potato,the,pup,puppylife,dogsofinstagram,puppy,beach,puppylove",creator,0.85,1.5,0.0,0.0
pozitifbirblog_,profile_scrape,scrape_1776872304.json,12,1024.0,nano,198.92,1.58,"anne_bebek,yemek_mutfak,ev_yasam","keşfet,instagram,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,fyp,keşfett,beniöneçıkar,reklam,keşfetedüş,annebebek,keşfetteyizz",creator,0.83,1.4,0.0,0.0
projects.__made_easy,profile_scrape,scrape_1776868866.json,6,366.0,nano,4.0,0.0,"egitim_kariyer,ev_yasam","studygram,studentlife,schoolproject,creativelearning,studyinspo,schoolprojects,accountancyproject,commerceprojects,cbseaccountancy,schoolprojectwork",creator,0.77,1.1,0.0,0.0
psc_kerala_321,profile_scrape,scrape_1776937431.json,7,1.0,nano,0.71,0.0,"ev_yasam,egitim_kariyer","PSCKerala,PSCPreparation,KeralaJobs,StudyGram,psclife",creator,0.93,1.9,0.0,0.0
psk.dan.ozgeergeneciftci,profile_scrape,scrape_1776936742.json,4,48.0,nano,12.0,0.0,egitim_kariyer,"sınav,sınavkaygısı,lgshazırlık,pdr,lgs,sınavahazırlık,bireyseldanışma",creator,0.83,1.4,0.0,0.0
puzzled.to.pieces,profile_scrape,scrape_1776869436.json,6,1630.0,nano,44.83,5.33,genel,"puzzletime,jigsawpuzzle,ilovepuzzles,puzzlelove,puzzlepic,puzzleart,puzzling,puzzlefeed,addictedtopuzzles,puzzlesarefun",creator,0.75,1.0,0.0,0.0
quietpower_channel,profile_scrape,scrape_1776937431.json,8,19.0,nano,0.88,0.12,"finans_is,teknoloji","finance,business,news,invest,tech,tesla,apple,buisness,google,i̇ran",creator,0.75,1.0,0.0,0.4
raj_gholap_26,profile_scrape,scrape_1776937431.json,12,734.0,nano,119.75,20.17,"otomotiv,moda_yasam,evcil_hayvan","instagram,instagood,photography,instadaily,attitude,trending,viral,royal,smile,insta",creator,0.83,1.4,0.0,0.0
raybao0512,profile_scrape,scrape_1776868866.json,6,1324.0,nano,66.17,12.83,genel,"형제묘,일상,냥스타그램,냥이들,초보집사,집사,고양이사진,고양이집사,고양이자랑,냥팔해요",creator,0.75,1.0,0.0,0.0
redgoldensans_,profile_scrape,scrape_1776869679.json,11,5195.0,nano,284.0,65.45,evcil_hayvan,"goldenretriever,köpek,keşfet,dog,dogsofinstagram,hayvansevgisi,fyp,puppy,dogs,goldenretrieversofinstagram",creator,0.85,1.5,0.0,0.0
reefunitynetwork,profile_scrape,scrape_1776937104.json,12,162.0,nano,11.25,4.25,finans_is,"reefunitynetwork,coral,coralrestoration,coralreef,coralreefs,reef,reefs,conservation,saveourreefs,protectourreefs",creator,0.75,1.0,0.0,0.0
repensigroup,profile_scrape,scrape_1776937691.json,12,41.0,nano,4.08,1.0,"guzellik_kozmetik,moda_yasam,anne_bebek","inovacaodigital,negociosdigitais,crescimentoempresarial,performancedigital,webstrategist,webperformance,empreendedorismodigital,TI,tech,webdevelopment",creator,0.83,1.4,0.0,0.0
rifki.thesittingcat,profile_scrape,scrape_1776869436.json,6,6772.0,nano,353.0,32.17,"evcil_hayvan,egitim_kariyer","kedi,cat,cats_of_instagram,cats,instagram,instacat,tuxedocatsofinstagram,catsofinsta,tuxedocat,tuxedofeatures",creator,0.83,1.4,0.0,0.0
ritmikmatematikyks,profile_scrape,scrape_1776937691.json,6,103.0,nano,12.0,0.5,genel,"yksmatematik,yks,yksnotları,yks2026,matematiketkinliği,yks2026tayfagümbürgümbür,matematiköğretmeni,tyt,aytmatematik,matematiközelders",creator,0.75,1.0,0.0,0.0
rizehafizlardernegi,profile_scrape,scrape_1776872304.json,12,8281.0,nano,439.92,26.92,genel,"hafız,rihad,rizehafızlarderneği,riho,iho,hafızlar,reels,keşfet,islam,müslüman",creator,0.75,1.0,0.0,0.0
