username,community_id,external_neighbor_count,betweenness_centrality
asralfotografcilik,4,33,0.024471
mycat_mango,4,33,0.016736
studyconkris,6,29,0.074254
merlin.kleiner.verzauberer,3,28,0.059526
bizimbebekgunlugu,4,26,0.011958
annevebebek2025,4,26,0.010112
itssyamaan,4,26,0.00974
mucizeyolculugum,4,26,0.007088
potatothepup._,4,26,0.0037
hamilelikveanne,4,26,0.003249
mirayela.blog,4,26,0.001526
hemsireeannegunlugu,4,26,0.001259
ozgeilemisha,4,26,0.000343
op.dr.busrasahin,4,26,0.0002
fhosalay,1,24,0.01279
lola_thelollipopcat,1,24,0.009855
furnbubbles_kiato,1,24,0.006446
avm.sepetim,1,24,0.002065
woofiesrestonherndon,1,24,0.002065
sevvalb.s,3,23,0.019682
cekirdekrehberlik,3,23,0.008068
yet.akademi,3,23,0.00625
byaslanhoca,3,23,0.00329
fsmortaokulu33,3,23,0.00329
lgs27kpss26,3,23,0.00329
overhearddeumed,3,23,0.00329
tarihdukkani_,3,23,0.00329
ahmetbulentcanli,3,23,0.00031
psk.dan.ozgeergeneciftci,3,23,0.00031
yelken.akademi,3,23,0.00031
huaico.gato,4,21,0.006893
redgoldensans_,4,21,0.00535
hati_cehomm,4,21,0.00086
bento.lola_,4,21,0.000662
max_thewolf_husky01,4,21,0.000369
elli_beanyyy,4,21,0.000352
bonbon.balon,4,21,0.000327
esravepasta,4,21,0.000292
ana_fikirler,4,21,0.000274
neselitat,4,21,0.000197
ciaocane.spa,4,21,0.000176
cb.ayseyurtsever,4,21,9.7e-05
lifeofwadhwa,4,21,9.7e-05
mavi.caodeirante,4,21,9.7e-05
pedrept,4,21,9.7e-05
petgourmet.cl,4,21,9.7e-05
sharedworldnews,4,21,9.7e-05
wymondhamcollege,4,21,9.7e-05
vavbabytr,5,20,0.01519
icefoxonline,5,20,0.010805
cocukgiyimevicom,5,20,0.004293
berilybaby,5,20,0.003917
poncikbaby.butik,5,20,0.00179
turkmen_kiyafet,5,20,0.000993
saninbabybutik,5,20,0.000952
asliglbaz,2,19,0.033481
dmlbllog,2,19,0.019864
scooter.n.friends,3,19,0.01451
bebegim.icin7,2,19,0.013827
russian_cream78,3,19,0.009714
piramitegitim,3,19,0.007562
muratgunduzs,3,19,0.005837
cat_dogloversofficial,3,19,0.003391
bloggwithmom,2,19,0.002667
min.n.mun,3,19,0.001324
alphonse_the_british,3,19,0.000326
badematay,3,19,0.000106
bikiandchonk,3,19,0.000106
gulhanersahin2,3,19,0.000106
maggieblue_with_covidblack,3,19,0.000106
patilere.acil.yuva,3,19,0.000106
rifki.thesittingcat,3,19,0.000106
skinnyskinnypankokitty,3,19,0.000106
raj_gholap_26,1,18,0.027123
sinem.direkk,8,18,0.022534
merkez.pastane,2,18,0.018863
mimabebekbutikk,5,18,0.016419
baharatascakir,8,18,0.016029
mercaninkiyisindan,8,18,0.015255
sevilayovali,2,18,0.015096
meysaca.blogg,8,18,0.009475
marykidscom,5,18,0.005195
ozdmirbasak,8,18,0.005124
birazannebirazkaos,8,18,0.004083
mini_baby.butik,5,18,0.004
tiny.clubb,5,18,0.002729
anneolmayolunda,8,18,0.001878
beyzadeecicek,8,18,0.00184
meyramlaannelik,8,18,0.000976
ebrardenizgez,8,18,0.000347
minisaglikrehberi,8,18,0.00018
voicesof_theoppressed,8,18,6e-05
annelikruhumda_,8,18,4.1e-05
momtimetr,8,18,1.5e-05
aylin_yaykin,8,18,3e-06
bebekvari,8,18,3e-06
drlutfullahaslan,8,18,3e-06
fnuraltundal,8,18,3e-06
humanistic_wellness,8,18,3e-06
mistiq.gunce,8,18,3e-06
gozdessign,4,17,0.019749
balon_sepeti,4,17,0.00251
studiopari.co,4,17,0.001309
__m_arco____._,5,16,0.024401
minimodatr,5,16,0.009
volateality,2,14,0.02691
babylabstudio,3,14,0.016821
hamilelik.annelik,4,14,0.010226
lf.photoscb,3,13,0.020874
yildizlarkulup,8,13,0.01805
luckybracecat,3,13,0.015737
nadja.k_organics,3,13,0.01496
gizemhatimoglu,8,13,0.012169
novaschooloflaw,3,13,0.00337
drturkerborucu,4,12,0.011599
damlasdreams,1,12,0.005746
ikkiturkiye,7,11,0.057941
muzeyyenin_aynasi,2,11,0.03342
sal.paws,1,11,0.024406
zeyyucarr,4,11,0.020096
listifyai.app,1,11,0.013501
deardilay,6,11,0.00925
teodora.dan,1,11,0.007476
scholarship.plz,6,11,0.003386
bioexatas.ms,6,11,0.002467
enfju_,6,11,0.002467
esrajournalss,6,11,0.001743
psc_kerala_321,6,11,0.001549
exoduslearn_,6,11,0.000666
7.taetae,6,11,4.7e-05
_echec_et_maths_,6,11,4.7e-05
estudelavis,6,11,4.7e-05
mnemonicsbybabita,6,11,4.7e-05
projects.__made_easy,6,11,4.7e-05
sassy.aken,6,11,4.7e-05
sciencewithjahir,6,11,4.7e-05
shai.learns.japanese,6,11,4.7e-05
shixuexi,6,11,4.7e-05
sinaptikbosluuk,6,11,4.7e-05
stillsamewith_april,6,11,4.7e-05
tsukialeigh,6,11,4.7e-05
vitals.and.void,6,11,4.7e-05
laken_turkiye,8,9,0.010876
pinar_denktas,8,9,0.006632
atomy.busranur,1,9,0.004019
saglikci_sayfasi,8,9,0.00036
christian.and.catherine,1,8,0.019132
gizemisfen,1,8,0.018524
glowenceco,1,8,0.007669
clair_glow,1,8,0.003716
roksanakarasiewicz,1,8,0.003063
everyounglb,1,8,0.001011
info.tinyva,1,8,0.000385
noodleandbooinc,1,8,0.000385
tonyriccio_bricks,1,7,0.030218
erdemyazilimanadolulisesi,3,7,0.02764
ayda_atolye,2,7,0.027383
georgepalozzi,3,7,0.017166
klncveterinerklinigi,3,7,0.011208
urunyacom,5,7,0.008667
guilhermecontador_,1,7,0.00799
mery_pacella,5,7,0.00781
dragana_stosic_gagasf,1,7,0.006777
empolisportfestival,5,7,0.005859
yaprakdoener.remscheid,1,7,0.005843
subhamsocial,3,7,0.00418
elifsenababykids,5,7,0.00411
aysegulkibarr,3,7,0.002767
callystavodafone4,1,7,0.002325
learngrowevolverepeat,3,7,0.001517
kulawykurczak,5,7,0.000728
eticaret.gercekleri,1,6,0.024906
zonadedrs_,1,6,0.017455
cozumelektronikmagaza,7,6,0.014072
ovinso.tr,1,6,0.013972
theazurcat,3,6,0.012423
gm_gozdemukavelat,1,6,0.006144
patiilina,3,6,0.004288
cookieetgribouille,1,6,0.002901
insigniask_tr,1,6,0.002901
tomh.p,1,6,0.002901
toscanoracing,1,6,0.002901
uzm.dr.zivareldarova,1,6,0.002901
repensigroup,5,6,0.000211
kahvemvekeyfi_,5,5,0.030425
success_academy_portugal,6,5,0.017805
drfaikuzun,2,5,0.005862
clubpilates.sandy,5,5,0.005527
lune_rahandmade,8,5,0.005393
fit4momwestseattle,8,5,0.004021
ayora.candles,4,5,0.000652
fatmazehra.keskinkrzan,5,5,0.000626
kitchen.anemon,2,4,0.025692
theinvestorsassociation,3,4,0.009354
graffireallylike,1,4,0.009184
cyf_congress,3,4,0.004938
kilotakip,2,4,0.003663
pixorize,1,4,0.003618
veronellimakarna,2,4,0.002206
emilyethics,5,3,0.0182
exact_ias,7,3,0.014962
studio_scrap_,6,3,0.012494
pozitifbirblog_,2,3,0.010624
eesraa_ismail,2,3,0.010342
bee.artisan.qc,1,3,0.009453
aajjmale_,6,3,0.008616
ishaan_international_school,3,3,0.004669
laf_activities,4,3,0.003499
the.sayan10_,4,3,0.002969
awsservitecgmbh,6,3,0.002411
studio_only,4,3,0.000913
debasethecurrency,3,3,0.000819
ml.petportraits,3,2,0.018998
vodafonekocyigit,2,2,0.01681
technix_legocar,1,2,0.01649
ankmedipolybs,7,2,0.015714
sabine.xoxo_,2,2,0.01291
afacankirtasiye19,1,2,0.011144
anodos.patra,6,2,0.008
chovancova_viktoria,2,2,0.007183
der_legoist,1,2,0.005212
edirneulak,1,2,0.005184
cvmatchly_ai,3,2,0.004769
bala_tech_0007,7,2,0.004733
dastini.burhaniye,5,2,0.002813
funda.sbloom,7,2,0.002131
elifomerkayra,2,2,0.001785
baytunagrup,7,2,0.001496
dimensionepc,7,2,0.001496
fatih.iosdev,7,2,0.001496
febitekk,7,2,0.001496
aslankidss_,5,2,0.001284
etlitariflerr,2,2,0.00127
papatyambaby,5,2,0.001269
foodloverrr2000,2,2,0.000652
altintaskirtasiye,1,2,0.000586
novalala.atelier,5,2,0.000567
hafstory.sk,3,2,0.000106
elifuzunrr,5,2,0.0
madadora_by.madma,5,2,0.0
maisonvale.tr,5,2,0.0
meilicloset,5,2,0.0
nfawear,5,2,0.0
sartino.italy,5,2,0.0
satya.khadka_,5,2,0.0
assets.and.interests,7,1,0.011739
ankurdwrh,5,1,0.011047
sikhi_pedia01,6,1,0.008778
dlra.homeblog,6,1,0.005968
hobby_prive,2,1,0.004027
siliconbeachstories,7,1,0.003509
areh.studies,6,1,0.003139
kattantkonyvkucko,1,1,0.002933
celebrationstudio.ie,1,1,0.002528
aliwahxz,7,1,0.002511
siskonyazilimveotomasyon,1,1,0.002129
telefonhub_,7,1,0.002115
apogeewp1,7,1,0.000418
bilkentalks,7,1,0.000418
cflmun,7,1,0.000418
financezirovnice,7,1,0.000418
k3studiosae,7,1,0.000418
karaglassstudio,7,1,0.000418
motaz_hayani,7,1,0.000418
reefunitynetwork,7,1,0.000418
samriddhisdiary,7,1,0.000418
udrescueduard,7,1,0.000418
upscalerts,7,1,0.000418
hardline.iq,7,1,9.6e-05
rocdz_,7,1,9.6e-05
