username,degree,weighted_degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,primary_category,categories,follower_segment,followers,avg_likes,avg_comments
etlitariflerr,34,13.9582,0.10089,0.00127,0.128758,0.0542,0.002609,fitness_saglik,"fitness_saglik,yemek_mutfak",mid,407824.0,220.0,0.0
everyounglb,28,13.4014,0.083086,0.001011,0.144117,0.005111,0.002931,otomotiv,"otomotiv,guzellik_kozmetik,anne_bebek",nano,1373.0,2.17,0.25
exact_ias,17,6.5,0.050445,0.014962,0.117624,0.001285,0.001824,ev_yasam,"ev_yasam,finans_is",mid,133471.0,10826.92,11.58
exoduslearn_,38,22.5933,0.11276,0.000666,0.141976,0.040485,0.003546,egitim_kariyer,"egitim_kariyer,ev_yasam",nano,2.0,0.88,0.25
fatih.iosdev,15,7.5,0.04451,0.001496,0.12519,0.000288,0.002967,teknoloji,teknoloji,nano,1244.0,147.08,16.0
fatmazehra.keskinkrzan,9,3.75,0.026706,0.000626,0.12197,0.003097,0.001336,fitness_saglik,fitness_saglik,nano,417.0,10.33,0.25
febitekk,15,7.5132,0.04451,0.001496,0.125191,0.000288,0.002971,teknoloji,teknoloji,nano,3357.0,146.42,2.58
fhosalay,40,17.9987,0.118694,0.01279,0.167093,0.044342,0.003147,evcil_hayvan,"evcil_hayvan,otomotiv",nano,1947.0,1736.0,181.67
fika.mag,7,2.625,0.020772,0.001017,0.098484,4.2e-05,0.001428,kitap_kultur,"kitap_kultur,teknoloji",nano,37.0,4.17,0.17
financezirovnice,20,12.4181,0.059347,0.000418,0.125038,0.001603,0.003237,finans_is,finans_is,nano,136.0,5.7,0.0
fit4momwestseattle,23,9.0,0.068249,0.004021,0.138457,0.017466,0.001865,fitness_saglik,"fitness_saglik,anne_bebek",nano,1784.0,10.83,0.5
fithera_kongress,6,2.75,0.017804,0.003827,0.116137,0.004899,0.000953,fitness_saglik,"fitness_saglik,yemek_mutfak,finans_is",nano,1165.0,28.0,0.5
fnuraltundal,44,22.875,0.130564,3e-06,0.156503,0.055105,0.003631,anne_bebek,anne_bebek,nano,1350.0,262.83,14.5
foodloverrr2000,34,13.9062,0.10089,0.000652,0.128649,0.053914,0.002603,fitness_saglik,"fitness_saglik,yemek_mutfak",nano,61.0,9.0,1.5
fsmortaokulu33,51,22.9542,0.151335,0.00329,0.155056,0.058239,0.003509,egitim_kariyer,egitim_kariyer,nano,683.0,74.83,0.0
funda.sbloom,3,1.125,0.008902,0.002131,0.100829,0.000835,0.000804,kitap_kultur,kitap_kultur,nano,190.0,22.5,0.33
furnbubbles_kiato,40,17.9028,0.118694,0.006446,0.166477,0.043916,0.003136,evcil_hayvan,"evcil_hayvan,otomotiv",nano,343.0,17.18,0.09
gastronotrukenii_,41,25.5175,0.121662,0.000173,0.142604,0.113074,0.003822,yemek_mutfak,yemek_mutfak,nano,251.0,16.5,0.0
georgepalozzi,28,12.2933,0.083086,0.017166,0.156487,0.017881,0.002468,otomotiv,"otomotiv,egitim_kariyer",micro,14111.0,1043.25,20.58
ghenosgames,14,6.6959,0.041543,0.001983,0.122801,0.000195,0.002446,oyun_espor,"oyun_espor,oyuncak_hobi,otomotiv",micro,10297.0,757.36,13.27
gizemhatimoglu,32,12.8975,0.094955,0.012169,0.155621,0.030366,0.00219,anne_bebek,"anne_bebek,egitim_kariyer",micro,24329.0,2168.33,36.33
gizemisfen,28,13.4471,0.083086,0.018524,0.145133,0.005149,0.002939,guzellik_kozmetik,"guzellik_kozmetik,anne_bebek,otomotiv",nano,307.0,20.08,0.5
glowenceco,35,15.7205,0.103858,0.007669,0.154144,0.012988,0.00323,guzellik_kozmetik,"guzellik_kozmetik,evcil_hayvan,otomotiv",nano,9.0,3.62,0.12
gm_gozdemukavelat,29,12.2764,0.086053,0.006144,0.136471,0.002833,0.002891,guzellik_kozmetik,"guzellik_kozmetik,otomotiv,moda_yasam",nano,127.0,6.67,0.0
gozdessign,35,15.8764,0.103858,0.019749,0.158308,0.033505,0.002873,anne_bebek,"anne_bebek,oyuncak_hobi,evcil_hayvan",nano,1239.0,21.92,1.25
graffireallylike,6,2.25,0.017804,0.009184,0.126911,0.001373,0.001342,taki_aksesuar,taki_aksesuar,nano,600.0,54.0,1.33
grimm_jowtv,22,10.1382,0.065282,0.007375,0.140948,0.001334,0.00306,otomotiv,"otomotiv,oyuncak_hobi",nano,41.0,5.43,0.57
guilhermecontador_,17,7.5132,0.050445,0.00799,0.137952,0.004273,0.002357,oyuncak_hobi,oyuncak_hobi,nano,2944.0,110.08,13.42
gul_sevle,41,25.4201,0.121662,6.1e-05,0.141943,0.112648,0.00381,yemek_mutfak,yemek_mutfak,mega,1020917.0,-1.0,212.18
gulhanersahin2,56,27.625,0.166172,0.000106,0.16334,0.09702,0.004016,egitim_kariyer,"egitim_kariyer,evcil_hayvan",nano,693.0,38.83,3.0
gull.vlog,41,25.3727,0.121662,0.003486,0.142306,0.112432,0.003803,yemek_mutfak,yemek_mutfak,micro,10239.0,14994.33,30.25
hafstory.sk,28,12.3252,0.083086,0.000106,0.143674,0.041331,0.00207,evcil_hayvan,"evcil_hayvan,egitim_kariyer,kitap_kultur",nano,248.0,47.42,1.5
hamarat.eller.25.35,41,25.2174,0.121662,2.4e-05,0.141371,0.111789,0.003783,yemek_mutfak,yemek_mutfak,nano,39.0,22.0,1.0
hamilelik.annelik,34,14.5897,0.10089,0.010226,0.153351,0.031857,0.002686,anne_bebek,"anne_bebek,evcil_hayvan,taki_aksesuar",micro,10966.0,598.42,2.5
hamilelikveanne,61,29.0309,0.181009,0.003249,0.169111,0.086284,0.004364,anne_bebek,"anne_bebek,evcil_hayvan",micro,79656.0,7794.17,43.67
hardline.iq,8,3.5,0.023739,9.6e-05,0.101951,3.1e-05,0.001705,teknoloji,"teknoloji,oyun_espor",nano,3865.0,107.08,19.17
hati_cehomm,50,25.2016,0.148368,0.00086,0.16076,0.099883,0.00368,evcil_hayvan,evcil_hayvan,nano,1396.0,24.25,2.17
hemsireeannegunlugu,61,28.7449,0.181009,0.001259,0.168762,0.085397,0.004327,anne_bebek,"anne_bebek,evcil_hayvan",nano,2958.0,68.75,12.33
hobby_prive,28,10.5839,0.083086,0.004027,0.110802,0.050118,0.001972,yemek_mutfak,"yemek_mutfak,kitap_kultur",nano,32.0,3.83,0.0
huaico.gato,50,25.2798,0.148368,0.006893,0.16283,0.100129,0.00369,evcil_hayvan,evcil_hayvan,nano,1072.0,725.0,13.75
humanistic_wellness,44,22.875,0.130564,3e-06,0.156503,0.055105,0.003631,anne_bebek,anne_bebek,nano,67.0,1.75,1.67
icefoxonline,41,20.0283,0.121662,0.010805,0.160226,0.037382,0.003508,anne_bebek,"anne_bebek,moda_yasam,evcil_hayvan",nano,42.0,4.83,0.83
ikkiturkiye,25,9.9028,0.074184,0.057941,0.146763,0.00181,0.002581,otomotiv,"otomotiv,finans_is",nano,43.0,0.67,0.08
info.tinyva,28,13.3882,0.083086,0.000385,0.144026,0.005109,0.002928,anne_bebek,"anne_bebek,otomotiv,guzellik_kozmetik",nano,6.0,0.08,0.83
insigniask_tr,36,15.75,0.106825,0.002901,0.157203,0.007366,0.003729,otomotiv,otomotiv,nano,9837.0,1349.83,69.67
intothemezcoverse,31,13.1514,0.091988,0.010304,0.138383,0.002006,0.003386,oyuncak_hobi,"oyuncak_hobi,otomotiv,guzellik_kozmetik",nano,2324.0,58.75,6.5
ishaan_international_school,31,13.7771,0.091988,0.004669,0.148717,0.042225,0.00234,evcil_hayvan,"evcil_hayvan,egitim_kariyer,finans_is",nano,2238.0,130.75,2.5
itssyamaan,61,28.9955,0.181009,0.00974,0.170093,0.086122,0.004361,anne_bebek,"anne_bebek,evcil_hayvan",nano,896.0,204.0,9.5
jean_exclusividad,15,6.9752,0.04451,0.002114,0.124919,0.0007,0.002323,moda_yasam,"moda_yasam,fitness_saglik",nano,1808.0,1.5,0.2
k3studiosae,20,12.4278,0.059347,0.000418,0.124709,0.001576,0.00324,finans_is,finans_is,nano,22.0,3.25,0.58
kahvekoliklady,41,25.2777,0.121662,9.4e-05,0.141303,0.112048,0.00379,yemek_mutfak,yemek_mutfak,nano,3380.0,60.92,54.67
kahvemvekeyfi_,25,10.5362,0.074184,0.030425,0.144423,0.015239,0.002168,yemek_mutfak,"yemek_mutfak,moda_yasam,anne_bebek",nano,7127.0,237.3,18.4
kaligraficik,2,0.75,0.005935,0.000599,0.097296,2.3e-05,0.000986,dekorasyon_mobilya,"dekorasyon_mobilya,taki_aksesuar",nano,1071.0,64.89,3.56
kapadokyayapayzekazirvesi,22,9.5278,0.065282,0.009624,0.131249,0.001816,0.002424,guzellik_kozmetik,"guzellik_kozmetik,teknoloji,otomotiv",nano,332.0,48.5,4.75
karaglassstudio,20,12.4278,0.059347,0.000418,0.124709,0.001576,0.00324,finans_is,finans_is,nano,36.0,17.43,1.29
kattantkonyvkucko,8,3.0,0.023739,0.002933,0.117695,0.000858,0.0012,otomotiv,"otomotiv,kitap_kultur",nano,1542.0,55.27,8.73
kilotakip,37,15.2438,0.109792,0.003663,0.136897,0.054746,0.00295,oyuncak_hobi,"oyuncak_hobi,yemek_mutfak",micro,74037.0,1250.0,48.9
kingdoms__at__war,8,3.8168,0.023739,0.000159,0.11137,0.000303,0.001598,oyun_espor,"oyun_espor,oyuncak_hobi",nano,37.0,5.75,0.0
kitchen.anemon,37,15.692,0.109792,0.025692,0.138326,0.056819,0.00301,yemek_mutfak,"yemek_mutfak,oyuncak_hobi",nano,434.0,4.17,5.5
klncveterinerklinigi,33,14.9616,0.097923,0.011208,0.157434,0.044974,0.00257,evcil_hayvan,"evcil_hayvan,oyuncak_hobi,egitim_kariyer",nano,244.0,31.75,0.33
kolaytatlitariflerim,41,25.4034,0.121662,5.5e-05,0.141703,0.112589,0.003808,yemek_mutfak,yemek_mutfak,micro,67113.0,76.82,0.91
kulawykurczak,15,5.6514,0.04451,0.000728,0.137996,0.006102,0.001387,guzellik_kozmetik,"guzellik_kozmetik,evcil_hayvan,moda_yasam",nano,9059.0,35.75,34.25
laf_activities,24,9.8882,0.071217,0.003499,0.144347,0.032401,0.002033,evcil_hayvan,"evcil_hayvan,taki_aksesuar",nano,2956.0,64.17,5.92
laken_turkiye,29,12.4292,0.086053,0.010876,0.141786,0.021114,0.002439,anne_bebek,"anne_bebek,oyuncak_hobi",nano,648.0,12.55,0.55
learngrowevolverepeat,28,12.2764,0.083086,0.001517,0.155727,0.017881,0.002465,egitim_kariyer,"egitim_kariyer,otomotiv",nano,530.0,21.42,1.58
lego._.island,22,10.2216,0.065282,0.004349,0.141267,0.001334,0.003085,oyuncak_hobi,"oyuncak_hobi,otomotiv",nano,48.0,16.09,2.18
lf.photoscb,46,21.5501,0.136499,0.020874,0.164559,0.053541,0.003596,evcil_hayvan,"evcil_hayvan,egitim_kariyer,otomotiv",nano,2.0,2.0,0.0
lgs27kpss26,51,22.9962,0.151335,0.00329,0.155133,0.058332,0.003514,egitim_kariyer,egitim_kariyer,nano,506.0,163.4,0.6
lifeofwadhwa,50,25.1514,0.148368,9.7e-05,0.160329,0.099675,0.003674,evcil_hayvan,evcil_hayvan,nano,2396.0,43.0,12.33
linaberry_shop,11,4.875,0.032641,0.003942,0.124647,0.00769,0.001454,fitness_saglik,"fitness_saglik,yemek_mutfak,oyuncak_hobi",nano,52.0,9.67,0.58
listifyai.app,22,9.5575,0.065282,0.013501,0.148129,0.002215,0.002556,otomotiv,"otomotiv,moda_yasam",nano,9.0,-0.67,0.83
lola_thelollipopcat,40,17.9631,0.118694,0.009855,0.167946,0.044171,0.003143,evcil_hayvan,"evcil_hayvan,otomotiv",nano,1621.0,442.75,36.5
luckybracecat,46,21.5959,0.136499,0.015737,0.164637,0.053543,0.003604,evcil_hayvan,"evcil_hayvan,egitim_kariyer,otomotiv",nano,2577.0,49.5,5.0
lune_rahandmade,23,9.2042,0.068249,0.005393,0.135377,0.017928,0.001909,taki_aksesuar,"taki_aksesuar,anne_bebek",nano,30.0,9.75,0.75
madadora_by.madma,15,7.9181,0.04451,0.0,0.121932,0.002417,0.002288,moda_yasam,moda_yasam,nano,150.0,1.12,0.0
maggieblue_with_covidblack,56,27.9525,0.166172,0.000106,0.164352,0.098153,0.004059,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,99.0,7.33,0.0
maisonvale.tr,15,7.9193,0.04451,0.0,0.121926,0.002418,0.002287,moda_yasam,moda_yasam,nano,353.0,0.0,0.0
marykidscom,45,20.5239,0.133531,0.005195,0.149068,0.027992,0.003851,moda_yasam,"moda_yasam,anne_bebek",nano,722.0,12.83,0.17
mavi.caodeirante,50,25.2417,0.148368,9.7e-05,0.161403,0.100024,0.003685,evcil_hayvan,evcil_hayvan,micro,45018.0,5114.0,60.7
max_thewolf_husky01,50,25.2563,0.148368,0.000369,0.161668,0.100076,0.003687,evcil_hayvan,evcil_hayvan,nano,49.0,45.83,3.33
maxidonertr,41,25.2861,0.121662,2.4e-05,0.141459,0.112105,0.003792,yemek_mutfak,yemek_mutfak,nano,40.0,15.0,0.0
meilicloset,15,7.9193,0.04451,0.0,0.121926,0.002418,0.002287,moda_yasam,moda_yasam,nano,290.0,31.88,0.0
mercaninkiyisindan,37,15.7353,0.109792,0.015255,0.158133,0.021329,0.003006,anne_bebek,"anne_bebek,otomotiv",nano,81.0,43.58,6.0
merkez.pastane,51,20.1382,0.151335,0.018863,0.147126,0.082679,0.003371,yemek_mutfak,"yemek_mutfak,evcil_hayvan",nano,110.0,14.0,1.17
merlin.kleiner.verzauberer,55,24.4153,0.163205,0.059526,0.165202,0.070916,0.003781,evcil_hayvan,"evcil_hayvan,anne_bebek,egitim_kariyer",nano,1453.0,43.0,4.25
mery_pacella,15,6.9369,0.04451,0.00781,0.135046,0.001184,0.002149,fitness_saglik,"fitness_saglik,moda_yasam,otomotiv",micro,26835.0,1689.08,66.25
meyramlaannelik,44,23.168,0.130564,0.000976,0.159234,0.05596,0.00367,anne_bebek,anne_bebek,nano,181.0,35.83,14.25
meysaca.blogg,44,23.2524,0.130564,0.009475,0.159626,0.0561,0.003683,anne_bebek,anne_bebek,nano,8092.0,341.75,4.75
mimabebekbutikk,45,20.6241,0.133531,0.016419,0.149645,0.028173,0.003864,anne_bebek,"anne_bebek,moda_yasam",nano,430.0,31.0,80.83
min.n.mun,56,28.1638,0.166172,0.001324,0.16499,0.098885,0.004086,evcil_hayvan,"evcil_hayvan,egitim_kariyer",nano,33.0,4.73,1.64
mini_baby.butik,45,20.3609,0.133531,0.004,0.148598,0.027786,0.003825,moda_yasam,"moda_yasam,anne_bebek",nano,13.0,2.0,0.17
minimodatr,38,15.7895,0.11276,0.009,0.152808,0.011999,0.003293,anne_bebek,"anne_bebek,moda_yasam,otomotiv",nano,1873.0,15.75,8.67
minisaglikrehberi,44,23.0898,0.130564,0.00018,0.158284,0.055688,0.003661,anne_bebek,anne_bebek,nano,75.0,-1.0,4.0
mirayela.blog,61,28.7475,0.181009,0.001526,0.16866,0.085496,0.004326,anne_bebek,"anne_bebek,evcil_hayvan",nano,39.0,23.2,1.1
mistiq.gunce,44,23.0381,0.130564,3e-06,0.157774,0.055546,0.003653,anne_bebek,anne_bebek,nano,136.0,33.92,3.92
ml.petportraits,29,13.2109,0.086053,0.018998,0.147873,0.043038,0.002224,evcil_hayvan,"evcil_hayvan,teknoloji,egitim_kariyer",unknown,,0.0,0.25
mnemonicsbybabita,38,22.5218,0.11276,4.7e-05,0.141878,0.040386,0.003536,ev_yasam,"ev_yasam,egitim_kariyer",nano,43.0,40.5,1.5
momtimetr,44,23.2046,0.130564,1.5e-05,0.159001,0.055997,0.003676,anne_bebek,anne_bebek,nano,649.0,9.17,2.83
motaz_hayani,20,12.375,0.059347,0.000418,0.124673,0.001573,0.003228,finans_is,finans_is,nano,1098.0,95.58,3.83
mucizeyolculugum,61,28.884,0.181009,0.007088,0.169128,0.085906,0.004344,anne_bebek,"anne_bebek,evcil_hayvan",nano,3036.0,940.67,8.0
muratgunduzs,56,28.2799,0.166172,0.005837,0.165057,0.099302,0.004101,evcil_hayvan,"evcil_hayvan,egitim_kariyer",micro,18339.0,2973.92,183.5
mustachio.otr,15,6.9702,0.04451,0.000868,0.125361,0.000702,0.002321,moda_yasam,"moda_yasam,fitness_saglik",nano,1261.0,45.08,31.92
muzeyyenin_aynasi,38,14.4814,0.11276,0.03342,0.130656,0.061216,0.002299,yemek_mutfak,"yemek_mutfak,egitim_kariyer",nano,802.0,39.08,3.33
my.scholar.aid,26,12.7051,0.077151,0.005193,0.126168,0.020793,0.002385,ev_yasam,"ev_yasam,egitim_kariyer,fitness_saglik",micro,35651.0,-1.0,119.67
mycar.denizli,8,3.0,0.023739,0.004969,0.113857,0.000845,0.001324,otomotiv,"otomotiv,dekorasyon_mobilya",nano,176.0,13.0,0.0
mycat_mango,50,21.4366,0.148368,0.016736,0.165495,0.040108,0.003725,evcil_hayvan,"evcil_hayvan,otomotiv,anne_bebek",nano,2513.0,105.75,1.42
nadja.k_organics,46,21.5465,0.136499,0.01496,0.164798,0.053375,0.003597,evcil_hayvan,"evcil_hayvan,otomotiv,egitim_kariyer",nano,560.0,24.0,2.67
neselitat,50,25.2622,0.148368,0.000197,0.160954,0.100103,0.003688,evcil_hayvan,evcil_hayvan,nano,1362.0,42.42,7.92
nesva.journal,3,1.125,0.008902,0.0,0.098953,0.00069,0.000815,seyahat_gezi,"seyahat_gezi,ev_yasam,kitap_kultur",nano,279.0,-1.0,7.33
nfawear,15,7.9287,0.04451,0.0,0.122084,0.002419,0.00229,moda_yasam,moda_yasam,nano,65.0,14.0,2.0
noodleandbooinc,28,13.3882,0.083086,0.000385,0.144026,0.005109,0.002928,otomotiv,"otomotiv,guzellik_kozmetik,anne_bebek",mid,150266.0,136.33,42.17
novalala.atelier,7,2.6514,0.020772,0.000567,0.117119,0.000915,0.000997,moda_yasam,"moda_yasam,taki_aksesuar,oyuncak_hobi",micro,15850.0,157.75,22.42
novaschooloflaw,46,21.125,0.136499,0.00337,0.162892,0.052077,0.00354,egitim_kariyer,"egitim_kariyer,otomotiv,evcil_hayvan",nano,8110.0,207.33,2.08
